Company,address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Chicago Ballet ,3433 W Diversey,Fullerton/Milwaukee,2007-04-18T00:00:00,27500,18312.5,interior renovation
Katerina's,1920 W Irving Park,Western Ave South,2007-04-20T00:00:00,33908.28,25431.21,Storefront
Bernacki & Associates Inc,424 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,2007-04-24T00:00:00,100000,31997.5,"Repair loading dock, replace windows, HVAC, upgrade sprinkler system"
Vincent Cabinet Service Inc ,1727 W Grand,Kinzie Industrial Corridor Industrial Corridor,2007-04-24T00:00:00,15634,11635.62,replace roof trusses
Super Communication Inc,3435 W Lawrence,Lawrence/Kedzie,2007-04-25T00:00:00,5300,2650,"Signage, security system"
Am Sewing Dynamics,4534 W North,Northwest Industrial Corridor,2007-04-26T00:00:00,100000,50000,"roof, facade, parking lot, HVAC, electrical, awning"
Doris Photo Studio ,3221-23 W North,Humboldt Park,2007-04-26T00:00:00,106651.07,43439.99,"Storefront, Masonry, Signage, Awning"
OK Trading Inc ,3749 W Lawrence,Lawrence/Kedzie,2007-04-27T00:00:00,88750,48812.5,"HVAC, doors, paving, facade, floors, walls"
Hemina Patel Insurance State Farm,3837 N Western,Western Ave South,2007-04-30T00:00:00,299246.5,50000,complete rehab
Albany Park Auto Clinic,3848 W Lawrence,Lawrence/Kedzie,2007-05-03T00:00:00,19900,9950,Fencing
Leo Naturals John Yukeun Oh,3242 W Foster,Lawrence/Kedzie,2007-05-03T00:00:00,19124.95,10518.72,Complete Renovation
Hope 4 Us ,3920 W Roosevelt,Midwest,2007-05-18T00:00:00,36200,9500,"Roof, windows, tuck pointing, awning, HVAC, remodel bathrooms, painting, electrical, kitchen"
Mr Floyd Bolden,3227 W Harrison,Midwest,2007-05-21T00:00:00,75000,50000,Complete Renovations
Asset Recovery Services ,1751-59 W Grand,Kinzie Industrial Corridor Industrial Corridor,2007-05-23T00:00:00,223300,50000,Total Building Rehab
Vector Custom Fabricating,2128 W Fulton,Kinzie Industrial Corridor Industrial Corridor,2007-05-23T00:00:00,85000,46750,"install fixed equipment, purchase adjacent lot"
Karr Insurance Services ,5722 S Pulaski,63rd/Pulaski,2007-06-14T00:00:00,70831.53,50000,
Nok Yong House ,4201 W Lawrence,Lawrence/Pulaski,2007-06-19T00:00:00,15000,6820,"HVAC, paving, electrical, ceilings, floors"
GF 6 Mason LLC ,5933-49 W Madison,Madison/Austin Corridor,2007-06-25T00:00:00,80253.47,50000,"storefront, bathrooms, electrical"
Michael J Krepps DDS & Associates ,3806 W 63rd,63rd/Pulaski,2007-06-28T00:00:00,69047,36820.71,Complete Renovation
Chicago Kalbi Restaurant,3752 W Lawrence,Lawrence/Kedzie,2007-07-19T00:00:00,12422,6211,HVAC
Matsumoto Restaurant ,3800 W Lawrence,Lawrence/Kedzie,2007-07-19T00:00:00,43000,10629.3,"HVAC, storefront, signage"
Boca Ad Agency ,2456 W Division,Humboldt Park,2007-07-23T00:00:00,70500,50000,"Roof, facade, HVAC, bathroom, carpentry, floors"
L & M Welding Co,4619 W Armitage,Northwest Industrial Corridor,2007-07-23T00:00:00,111005,50000,"Masonry, windows, electrical & plumbing, drywall"
Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,2007-07-24T00:00:00,94110,50000,"HVAC, signage, awning, roof, windows, interior and exterior remodeling"
C & K Fashions,4012 W North,Pulaski Industrial,2007-07-25T00:00:00,24204.03,9352.02,"Replace windows, doors, tuckpoint"
DSBDA Enrique Salgado,2649 W Division,Humboldt Park,2007-07-27T00:00:00,100000,50000,Complete Build-out
Lawrence-Kedzie Self Storage,3215 W Lawrence,Lawrence/Kedzie,2007-07-27T00:00:00,11293.55,5314.5,Storefront
BP Electric Motors,4014 N Western,Western Ave South,2007-08-23T00:00:00,173596,13456.94,Storefront
Magnus Screw Products Corp ,1818 N Latrobe,Galewood/Armitage Industrial,2007-08-23T00:00:00,65948.21,31944,"Tuckpointing, windows/skylight, signage, gates"
Landlord,2733 W Division,Humboldt Park,2007-08-24T00:00:00,77234.6,38617.3,"Ceiling, facade, storefront,"
Logan Square Dental Service ,3946 N Cicero Av,Portage Park,2007-08-24T00:00:00,67500,34050,"Storefront, masonry, windows, electrical"
Plants Inc,2459 W Montrose,Western Ave South,2007-08-29T00:00:00,78338,37917,"storefront, lintels, masonary, interior renovations, signage"
La Luce ,1393 W Lake,Kinzie Industrial Corridor Industrial Corridor,2007-09-06T00:00:00,250000,50000,purchase adjacent property for parking
Charcoal Delights ,3139 W Foster,Lawrence/Kedzie,2007-09-21T00:00:00,200000,50000,Complete Renovation
Three's Kompany Hair Design,6324 S Pulaski,63rd/Pulaski,2007-09-21T00:00:00,38400,28142.4,"HVAC, floor, painting, awning, alarm"
JGF Management,1312-16 E 53rd,53rd Street,2007-09-25T00:00:00,62500,31250,"Roof, canopy, terra-cotta"
Jackie Smith,645-49 W 119th St,119th/Halsted,2007-10-02T00:00:00,233800,50000,complete renovations
John Payne,2746 - 48 W Chicago,Kinzie Industrial Corridor Industrial Corridor,2007-10-18T00:00:00,56500,30942.13,Masonry work / Facade
North Park Auto ,5033 N Kedzie,Lawrence/Kedzie,2007-10-25T00:00:00,4900,2450,"Roof, Fence, Parking Lot, HVAC, Storefront, Window, Doors, Sign"
Ssyal Ginseng House ,4201-A W Lawrence,Lawrence/Pulaski,2007-10-25T00:00:00,2200,1650,signage
Lucious H Smith,239-243 W 119th,119th/Halsted,2007-11-14T00:00:00,50679,25339.5,"Roof repair, plumbing, electrical, bathrooms, windows"
State Farm Insurance ,1700 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,2007-11-26T00:00:00,16580.78,6559.6,"Awning, signage, office buildout, electronic door system"
Bark Out Loud,5232 W Irving Park,Portage Park,2007-11-29T00:00:00,71640,50000,"Facade, Windows, Electric, interior renovations, sprikler system, flooring"
POW! Mixed Martial Arts School Inc,950 W Washington,Kinzie Industrial Corridor Industrial Corridor,2007-12-05T00:00:00,86068.65,43034.33,"Expansion, remodeling offices"
Lorna's Laces ,4229 N Honore,Ravenswood,2007-12-07T00:00:00,11600,6380,HVAC
Automotive Painters Suppy Inc,3750 W 63rd ,63rd/Pulaski,2007-12-10T00:00:00,84213,42106.5,"Electrical, facade, lighting, drywall, paint"
C&W Building Services Inc,1444 W Lake ,Kinzie Industrial Corridor Industrial Corridor,2007-12-10T00:00:00,53203.96,26601.98,"Roof, Masonry repairs/tuckpointing, sidewalk and curb repair"
Paws & Claws Daycare Inc,5015 N Western,Western Ave North,2007-12-10T00:00:00,380000,149999,Purchase adjacent property for expansion of business
Las Tablas ,4920 W Irving Park,Portage Park,2007-12-13T00:00:00,39937,19968.5,"Flooring, Windows, Electrical, Kitchen repair"
NY Shoes Import ,3546 W Lawrence,Lawrence/Kedzie,2007-12-14T00:00:00,8000,4400,"Signage, Awning"
Constantinos Stavropoulos,6928 S Pulaksi,63rd/Pulaski,2007-12-21T00:00:00,238345,50000,"HVAC, roof, parking lot, landscaping, storefront, facade, plumbing, electrical, signs, sidewalks, walls"
HydroAire Inc,1238 N Kostner,Northwest Industrial Corridor,2008-01-02T00:00:00,32800,16400,"Roof, HVAC, electrical, parking lot, sewers,"
Flying Pan,1509 E 53rd,53rd Street,2008-01-14T00:00:00,99505.07,49752.54,"lighting, windows, floor, buildout, demo, drywall, ceiling, bathroom,"
Beyond Design Inc,4521 N Ravenswood,Ravenswood,2008-01-16T00:00:00,204955.36,50000,"hardscape, landscape, lighting, water service"
Ranjit K Teji MDSC,3344 S Halsted,35th/Halsted,2008-01-16T00:00:00,32164,16082,"Facade, expansion, sign, tuckpointing, floor, carpet, window, ramp,"
Staropolska,3028-30 N Milwaukee,Fullerton/Milwaukee,2008-01-16T00:00:00,85000,42500,"facade, windows, doors, signage"
1154 Lill Ltd.,1511 W 38th/St,35th/Halsted,2008-01-17T00:00:00,321850,50000,HVAC
Gus Berthold Electric Co ,1900 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2008-01-23T00:00:00,6620,3310,Tuckpointing
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,2008-01-28T00:00:00,32535,16267.5,basement floor
Consolidated Chemical Works ,400 N Ashland,Kinzie Industrial Corridor Industrial Corridor,2008-01-30T00:00:00,85000,42500,Insulate Building
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,2008-02-05T00:00:00,21960,10980,steam boiler
Roseland Auto ,11725-27 S Michigan,Roseland/Michigan,2008-02-06T00:00:00,31000,23250,"Roof,walls"
Ranjit K Teji MDSC,3344 S Halsted,35th/Halsted,2008-02-12T00:00:00,20744,10372,HVAC
Illinois Engraving & Mfg,4530 N Ravenswood,Ravenswood,2008-03-12T00:00:00,22071,16553.25,Roof
Chi S Whang Style House,4661 N Broadway,Wilson Yard,2008-03-17T00:00:00,13000,6500,Roof
Wicker Heights Construction Co Inc ,3026 - 30 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2008-04-15T00:00:00,68965,50000,"facade repair, new doors, water service, tuckpointing, exhaust fan, hvac"
Addison Pipe & Tube Co ,355 N Lavergne,Northwest Industrial Corridor,2008-04-17T00:00:00,282000,27411.5,"roofing, fencing, flooring, siding repair, parking"
Addison Pipe & Tube Co ,355 N Lavergne,Northwest Industrial Corridor,2008-04-17T00:00:00,40678,20339,"roofing, fencing, flooring, siding repair, parking"
Benjamin Turcuato United Rehab Center PC,4257 N Milwaukee,Portage Park,2008-04-17T00:00:00,66500,19800,"plumbing, electrical, wall, ceilings, bathrooms, buildoutcabinets, countertop"
Pressure Billiards Wahib Merchant,6318 N Clark,Clark/Ridge,2008-04-18T00:00:00,15500,8525,"fence, sign, landscape, HVAC"
ShowerWorks Inc,4835 W Grand,Galewood/Armitage Industrial,2008-04-18T00:00:00,251780.67,125564,"Complete office buildout, electrical, plumbing, HVAC"
Villa Roma Hair Designers,3936 N Cicero,Portage Park,2008-04-18T00:00:00,3060,2295,tuckpointing
Villa Roma Hair Designers,3936 N Cicero,Portage Park,2008-04-18T00:00:00,5900,4425,tuckpointing
Villa Roma Hair Designers,3936 N Cicero,Portage Park,2008-04-18T00:00:00,30650,22987.5,tuckpointing
Dusan D Surovy,4251-57 N Milwaukee,Portage Park,2008-04-20T00:00:00,60585,30200,"Storefront, paved parking lot, HVAC, masonry, tuck pointing, iron fence"
Aqua World USA Inc ,5419 N Lincoln,Lincoln Avenue,2008-04-21T00:00:00,99800,50000,"Store fronts, signs, parking lot paved, roof, windows, doors, bathrooms, electrical, HVAC, Drop ceilings"
Debra A Pernell Agency,9206 S Cottage Gr,87th/Cottage Grove,2008-04-23T00:00:00,109813.27,50000,"brickwork - tuckpointing, furnace, electrical, plumbing, roof, new bath and kitchen"
Chatham Business Center LLC ,753 E 79th,87th/Cottage Grove,2008-04-24T00:00:00,39746,19873,"signs, awnings, replace bars on windows with rolling interior shutters"
Coco Restaurant ,3755 N Sacramento,Humboldt Park,2008-04-25T00:00:00,94500,37028,"roof, tuckpointing, demolition, new drywall, floor"
Payless Fashion House ,4021 W North,Pulaski Industrial,2008-04-28T00:00:00,20790,10395,"Storefront, windows"
Model Options Grant Urban,344 N Ogden,Kinzie Industrial Corridor Industrial Corridor,2008-04-29T00:00:00,20195.97,10097.99,"Masonry, awning, repaving,"
Manske Dieckman Thompson ,4619 N Broadway,Wilson Yard,2008-05-02T00:00:00,92787.81,45812.25,"office buildout, bathroom, plumbing, lighting, new entry door, partitions, electrical, HVAC, signage"
Matt Denny Uptown Recording,4656 N Clifton,Wilson Yard,2008-05-02T00:00:00,58490,29245,"Signage, Awning, Security Cameras, Tuckpointing, solar hot water heater"
La Clinica ,5738 S Pulaski,63rd/Pulaski,2008-05-06T00:00:00,38122.65,14258.75,"interior renovation, hvac, signage"
Geroge Zaremba & Virginia Silk,3404 W Lake,Midwest,2008-05-07T00:00:00,100283,50000,"Roof, HVAC, electrical, garage door, bathroom"
Piggy Toes ,4548 N Western,Western Ave North,2008-05-08T00:00:00,21942.55,10828.15,"Replace window frames and resize glass, install new door"
Albany Steel & Brass,1913 W Grand,Kinzie Industrial Corridor Industrial Corridor,2008-05-12T00:00:00,2300,990,Tar sealcoating and striping of parking lot
Roseland Auto ,11725-27 S Michigan,Roseland/Michigan,2008-05-16T00:00:00,23000,17250,"Roof, tuck pointing, awnings, facade, paving parking lot, HVAC, drop ceiling, lighting, siding"
Damen Lake Property LLC (Standard Equipment Co) ,2033 W Walnut,Kinzie Industrial Corridor Industrial Corridor,2008-05-28T00:00:00,40407,20352,Lighting
New Age Childrens Prep Academy ,10951 S Michigan,Roseland/Michigan,2008-05-29T00:00:00,71734,39453.7,"Sprinkler system, plumbing"
Ex-Cel Corned Beef Co,1009 W Lake,Kinzie Industrial Corridor Industrial Corridor,2008-06-04T00:00:00,22273,11136.5,"Doors, windows, wall & ceiling panels"
West End Tatas Pizza Inc,3019 W 111th,111th/Kedzie,2008-06-09T00:00:00,36468,18234,"roofing, fencing"
Darryl & Fylynne Crawford Kimbark Coin Laundry 6,1218 E 53rd,53rd Street,2008-06-12T00:00:00,5576.29,2788.15,"sign, HVAC, floor expansion, water heater"
Madison Pine Dental Clinic,5470 W Madison,Madison/Austin Corridor,2008-06-18T00:00:00,91500,45750,"facade, doors, handicap accessible entrace"
POW! Mixed Martial Arts School Inc,950 W Washington,Kinzie Industrial Corridor Industrial Corridor,2008-06-19T00:00:00,12377.5,6188.75,"Expansion, remodeling offices"
Diana Lupez-Obaldo,2525 W Division,Humboldt Park,2008-06-23T00:00:00,96403,50000,"Doors, windows, HVAC, electrical, plumbing, masonry, floors"
Design Integrity Inc ,1155 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,2008-06-24T00:00:00,100000,50000,"interior buildout, HVAC, Electrical, windows"
Namita Handa ,4941-43 N Milwaukee,Jefferson Park ,2008-06-24T00:00:00,4900,2250,Roofing & plumbing
Chicagoland Beverage,2056 W Walnut,Kinzie Industrial Corridor Industrial Corridor,2008-07-17T00:00:00,84960,44117.5,elevator modernization
Roseland Auto ,11725-27 S Michigan,Roseland/Michigan,2008-07-18T00:00:00,20360,9500,"Roof, tuck pointing, awnings, facade, paving parking lot, HVAC, drop ceiling, lighting, siding"
Bubbly Dynamics LLC,1400 W 46th,35th/Halsted,2008-07-24T00:00:00,92400,45000,"Greenhouse roof, porch, handrails, sunshades, green facades, floors, windows, front entrance"
Schulhof Co ,4701-35 N Ravenswood,Ravenswood,2008-07-29T00:00:00,515679,150000,"Complete office renovation, upgrade loading docks, new overhead truck entrance"
Artemios Tacos ,4918 W Irving Park,Portage Park,2008-08-12T00:00:00,13650,6825,"facade renovation, interior renovation, sigage, roofing, sewer repair"
Pet Care Plus Ltd ,1328 W Lake,Kinzie Industrial Corridor Industrial Corridor,2008-08-12T00:00:00,78466.16,39233.08,"facade, windows, doors, awning, floor, electrical, plumbing,"
J. K. Kabab House,6412 N. Rockwell St.  ,Devon/Western,2008-08-14T00:00:00,67052,33526,
HydroAire Inc,1238 N Kostner,Northwest Industrial Corridor,2008-08-18T00:00:00,41514,20757,Cranes
Anmar Foods ,2142 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2008-08-22T00:00:00,125747,62873.5,roof
Chi S Whang Style House,4661 N Broadway,Wilson Yard,2008-08-22T00:00:00,21060,10166.38,"Removal of underground storage tank, investigation and closure of tank removal"
Ivory Cleaners,3857 W Roosevelt,Midwest,2008-08-22T00:00:00,12880,6440,"Electrical, tuckpointing, shutters, sign, ceiling"
Nima Corp dba Noon O Kabab ,4651 N Kedzie,Lawrence/Kedzie,2008-08-26T00:00:00,28040,14324,"Interior renovations, fixed asset equipment, parking lot, systems renovation, fencing"
Ellana Designs Boutique ,7511 S Cottage Gr,87th/Cottage Grove,2008-09-03T00:00:00,97300,72975,"Roofing, HVAC, lighting, stairs, drywall, electrical, remove pipes & Signage"
Sun Hee Lim,5668 N Clark,Clark/Ridge,2008-09-18T00:00:00,82782,62086.5,"Interior drycleaning buildout,awnings,"
Sun Hee Lim,5668 N Clark,Clark/Ridge,2008-09-18T00:00:00,19800,14850,"Tuckpointing, brickwork"
Ming Yan Ho,3310 S Halsted,35th/Halsted,2008-09-22T00:00:00,105000,76590.92,"HVAC, storefront, bathroom, walls, electrical, floors, roof"
Metropolis Coffee Co LLC,5545 N Clark,Clark/Ridge,2008-09-23T00:00:00,300000,150000,"office buildout, HVAC, electrical, plumbing, bathrooms, production tables, pallet racks, purchase parking spots"
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,2008-09-25T00:00:00,13555,6777.5,plumbing
Chromium Industries Inc ,4645 W Chicago,Northwest Industrial Corridor,2008-10-07T00:00:00,105550,50000,roofing
Bright Endeavors ,4229 N Ravenswood,Ravenswood,2008-10-14T00:00:00,7590,3795,"Plumbing, capentry, electrical work, fix stairs, drywall, window trimmings, HVAC"
Jerome Kadleck DDS,5236 W Belmont,Belmont/Central,2008-10-14T00:00:00,37910,18955,"facade/storefront renovation, roofing repair, doors, parking lot paving"
Eric J Lindsay Insurance Inc,3708 W Roosevelt,Midwest,2008-10-15T00:00:00,115093.75,57546.88,"Purchase vacant lot, stone & pave lot, fencing"
Ex-Cel Corned Beef Co,1009 W Lake,Kinzie Industrial Corridor Industrial Corridor,2008-10-15T00:00:00,51089.76,25544.88,"Roofing, floors"
Vista Family Medicine,10961 S Kedzie,111th/Kedzie,2008-10-15T00:00:00,766458.64,50000,Complete Renovation
Hold This Corp ,1501 N Magnolia ,North Branch (South),2008-10-17T00:00:00,88109.91,44054.1,"Fencing, security system,"
Addison Pipe & Tube Co ,355 N Lavergne,Northwest Industrial Corridor,2008-10-20T00:00:00,217853.53,102249.5,"roofing, fencing, flooring, siding repair, parking"
Scott Wilson Design ,1032 N Fulton Market # 201,Kinzie Industrial Corridor Industrial Corridor,2008-10-21T00:00:00,120700,29550,"glass walls, light fixtures, plumbing, kitchen island, deck w/built-in lighting and seating, curtains, blinds, speakers"
Bertina Power-Stewart,8053-57 S Stony Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,2008-10-24T00:00:00,63000,47250,"Roof, doors, electrical, HVAC"
Doshi Distributers,2323 N Pulaski Rd,Pulaski Industrial,2008-10-24T00:00:00,48000,23425,"electrical service, hvac, storefront, parking"
Doshi Distributers,2323 N Pulaski Rd,Pulaski Industrial,2008-10-24T00:00:00,53150,26575,"electrical service, hvac, storefront, parking"
Jewelry Design Ltd,2210 S Halsted,Pilsen ,2008-10-24T00:00:00,94289,46530,"Facade, Tuckpointing, Flooring"
Hae D Park,3835 W Lawrence,Lawrence/Kedzie,2008-10-28T00:00:00,73338,36669,"storefront, masonry, hvac, roofing, electrical, windows"
Secure Eco Shred ,4455 N Elston,Lawrence/Pulaski,2008-10-29T00:00:00,5900,2950,awnings/signage
Kenneth Motew,1032 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,2008-11-06T00:00:00,225500,112750,"office build-out,"
M Henry Cafe,5707 N Clark,Clark/Ridge,2008-11-06T00:00:00,51969.5,25984.75,"landscaping, masonry, structural improvements, carpentry, walls, bathroom, HVAC, Signage"
Fun Incorporated ,2100 N Major,Galewood/Armitage Industrial,2008-11-10T00:00:00,40165,20082.5,"Roof, tuckpointing, flashing, drain, aluminum coating"
David Vondle,3009 W Fullerton,Fullerton/Milwaukee,2008-11-11T00:00:00,10900,8175,Green Roof
Take the Cake ,1635 W Walnut,Kinzie Industrial Corridor Industrial Corridor,2008-11-11T00:00:00,72202,36101,"Expansion, walk-in freezer,"
Chung Mickey Figura,8702 S Commercial,Commercial Avenue,2008-11-25T00:00:00,165096,123822,"hvac, electrical, plumbing, interior renovation, ,floor, facade/storefront"
Namita Handa ,4941-43 N Milwaukee,Jefferson Park ,2008-11-26T00:00:00,20400,10400,Roofing & plumbing
Chicago Pediatric Clinic Corp ,1916 W Irving Park,Western Ave South,2008-12-03T00:00:00,41975,20987.5,"Facade, windows, door, sandblasting, tuckpointing, floor, ceiling"
